"Definiton","Users who have initiated at least one session during the date range. ","","","","","","","","","","","","","",""
"Day Index","Users","Direct Users","Organic Search","Referral Users","Paid search","Social","Page Views","Sessions","Unique Purchases","Revenue USD","Transactions","Avg. Order Value USD","E-commerce Conversion Rate","",""
"23/07/2019","2,035","252","1,223","410","9","53","10,683","2,292","3","166.97","1","167","0.04%","",""
"24/07/2019","2,175","259","1,314","416","11","97","11,033","2,451","2","40","1","40","0.04%","",""
"25/07/2019","2,027","272","1,290","300","3","58","10,445","2,282","12","196.9","5","39","0.22%","",""
"26/07/2019","1,910","258","1,145","342","6","67","10,717","2,171","16","255.12","6","43","0.28%","",""
"27/07/2019","1,265","244","796","107","7","44","5,897","1,403","7","182.33","3","61","0.21%","",""
"28/07/2019","1,270","136","915","127","4","43","6,522","1,432","4","46.87","2","23","0.14%","",""
"29/07/2019","2,077","305","1,163","436","6","97","11,098","2,350","6","90.14","3","30","0.13%","",""
"30/07/2019","2,207","260","1,361","435","5","75","11,885","2,454","14","151.5","5","30","0.20%","",""
"31/07/2019","2,028","255","1,294","359","10","50","10,836","2,271","26","1,076.14","5","215","0.22%","",""
"01/08/2019","1,982","259","1,208","387","6","48","10,455","2,228","15","452.63","7","65","0.31%","",""
"02/08/2019","1,847","236","1,118","351","7","54","9,291","2,081","4","151.96","3","51","0.14%","",""
"03/08/2019","1,217","144","858","107","7","41","6,333","1,354","3","22.97","2","11","0.15%","",""
"04/08/2019","1,388","153","948","150","4","47","7,319","1,583","4","139.97","3","47","0.19%","",""
"05/08/2019","2,158","248","1,329","413","6","62","10,820","2,424","4","710.5","2","355","0.08%","",""
"06/08/2019","2,953","956","1,421","396","6","98","15,639","3,255","13","305.7","7","44","0.22%","",""
"07/08/2019","2,975","984","1,366","394","5","130","15,372","3,353","9","223.72","5","45","0.15%","",""
"08/08/2019","2,158","279","1,372","383","7","65","11,458","2,431","22","289.15","8","36","0.33%","",""
"09/08/2019","2,155","369","1,256","343","70","59","13,044","2,425","2","18.8","2","9","0.08%","",""
"10/08/2019","1,489","254","915","135","90","49","6,618","1,640","2","81.98","1","82","0.06%","",""
"11/08/2019","1,300","168","804","118","96","51","6,720","1,431","16","360.27","6","60","0.42%","",""
"12/08/2019","2,113","242","1,183","425","132","69","10,960","2,387","0","0","0","0","0.00%","",""
"13/08/2019","2,128","270","1,211","374","127","71","11,624","2,437","1","21.99","1","22","0.04%","",""
"14/08/2019","1,940","229","1,144","349","114","58","10,292","2,184","10","170.5","3","57","0.14%","",""
"15/08/2019","1,878","236","1,049","355","111","51","9,379","2,112","11","225.33","3","75","0.14%","",""
"16/08/2019","1,819","220","1,026","344","121","54","10,187","2,083","8","201.9","3","67","0.14%","",""
"17/08/2019","1,272","168","833","115","60","52","5,785","1,423","7","155.89","4","39","0.28%","",""
"18/08/2019","1,384","155","873","171","74","48","6,876","1,536","7","69.69","4","17","0.26%","",""
"19/08/2019","2,518","262","1,584","424","136","55","11,557","2,805","7","51.29","3","17","0.11%","",""
"20/08/2019","2,959","309","1,971","395","171","56","12,766","3,313","1","29","1","29","0.03%","",""
"21/08/2019","2,177","262","1,256","388","133","80","11,957","2,480","9","205.93","6","34","0.24%","",""
"22/08/2019","2,204","290","1,317","353","127","66","11,767","2,491","3","43.38","3","14","0.12%","",""
"23/08/2019","1,999","230","1,173","349","143","61","10,650","2,292","10","204.83","6","34","0.26%","",""
"24/08/2019","1,470","238","920","133","87","49","6,644","1,669","9","86.76","3","29","0.18%","",""
"25/08/2019","1,372","153","891","123","98","57","6,550","1,539","13","232.74","7","33","0.45%","",""
"26/08/2019","2,104","293","1,141","430","144","53","11,121","2,413","0","0","0","0","0.00%","",""
"27/08/2019","2,309","277","1,386","399","156","70","11,468","2,634","9","274.48","2","137","0.08%","",""
"28/08/2019","2,096","255","1,212","358","141","65","10,273","2,375","11","82.23","3","27","0.13%","",""
"29/08/2019","2,144","240","1,282","365","127","53","10,833","2,435","2","50","1","50","0.04%","",""
"30/08/2019","1,841","233","1,120","285","113","44","9,767","2,034","10","141.87","5","28","0.25%","",""
"31/08/2019","1,344","268","756","134","95","43","6,305","1,473","14","189.75","7","27","0.48%","",""
"01/09/2019","1,303","161","827","132","80","49","5,865","1,455","3","40.39","3","13","0.21%","",""
"02/09/2019","1,683","175","1,087","210","108","50","6,957","1,894","0","0","0","0","0.00%","",""
"03/09/2019","2,281","303","1,354","378","127","50","10,620","2,551","6","180.99","3","60","0.12%","",""
"04/09/2019","2,300","309","1,365","400","121","47","11,531","2,603","1","15.39","1","15","0.04%","",""
"05/09/2019","2,119","275","1,205","416","85","60","10,373","2,395","1","11","1","11","0.04%","",""
"06/09/2019","2,084","197","1,188","321","109","181","10,342","2,331","20","492.23","5","98","0.21%","",""
"07/09/2019","1,302","164","838","117","62","64","6,274","1,456","11","157.09","4","39","0.27%","",""
"08/09/2019","1,507","186","942","177","78","62","6,948","1,705","3","53.39","2","27","0.12%","",""
"09/09/2019","2,179","277","1,247","404","106","56","10,723","2,426","5","190","3","63","0.12%","",""
"10/09/2019","2,511","344","1,482","432","98","79","11,650","2,807","15","240.7","2","120","0.07%","",""
"11/09/2019","2,282","272","1,298","441","111","67","11,270","2,568","9","109.5","4","27","0.16%","",""
"12/09/2019","2,325","299","1,371","379","124","53","11,273","2,591","3","118.4","3","39","0.12%","",""
"13/09/2019","1,995","217","1,218","342","104","57","9,985","2,213","3","25.5","1","26","0.05%","",""
"14/09/2019","1,386","166","896","97","97","60","7,047","1,596","10","176.7","3","59","0.19%","",""
"15/09/2019","1,561","203","1,003","179","77","44","7,560","1,763","6","41","2","21","0.11%","",""
"16/09/2019","2,813","265","1,862","427","108","51","12,145","3,119","4","73.7","2","37","0.06%","",""
"17/09/2019","3,243","282","2,221","434","125","46","14,083","3,618","6","113.4","4","28","0.11%","",""
"18/09/2019","2,512","302","1,477","443","110","49","12,095","2,862","9","939.4","7","134","0.24%","",""
"19/09/2019","2,470","353","1,433","410","123","63","12,672","2,780","7","178.9","5","36","0.18%","",""
"20/09/2019","2,331","354","1,353","388","143","47","12,283","2,604","22","189.95","4","47","0.15%","",""
"21/09/2019","1,570","238","955","134","152","57","7,902","1,759","9","233.9","4","58","0.23%","",""
"22/09/2019","1,585","212","960","176","166","37","7,399","1,767","6","97","5","19","0.28%","",""
"23/09/2019","2,411","358","1,342","419","177","55","11,163","2,729","18","201.9","4","50","0.15%","",""
"24/09/2019","2,580","354","1,556","474","64","67","13,666","2,929","0","0","0","0","0.00%","",""
"25/09/2019","2,620","298","1,711","407","13","79","13,239","3,012","15","538.3","6","90","0.20%","",""
"26/09/2019","2,581","314","1,579","437","129","49","11,981","2,914","7","127.5","5","26","0.17%","",""
"27/09/2019","2,596","297","1,600","405","144","54","12,147","2,915","5","180","4","45","0.14%","",""
"28/09/2019","1,331","211","785","133","80","36","5,823","1,483","5","86","3","29","0.20%","",""
"29/09/2019","1,431","224","909","117","86","42","6,369","1,620","2","16","1","16","0.06%","",""
"30/09/2019","2,206","353","1,184","407","142","52","10,002","2,501","11","250.75","6","42","0.24%","",""
"01/10/2019","2,304","374","1,239","413","142","62","9,877","2,621","5","123","3","41","0.11%","",""
"02/10/2019","2,285","386","1,215","394","126","63","9,908","2,562","9","96.5","2","48","0.08%","",""
"03/10/2019","2,654","420","1,212","348","160","449","10,654","2,973","5","98","2","49","0.07%","",""
"04/10/2019","1,938","318","1,022","333","119","87","8,861","2,196","8","260","2","130","0.09%","",""
"05/10/2019","1,219","202","744","99","80","60","5,384","1,389","4","35.9","2","18","0.14%","",""
"06/10/2019","1,253","223","730","108","72","54","5,545","1,401","11","181","5","36","0.36%","",""
"07/10/2019","2,349","386","1,268","427","145","57","9,493","2,605","15","3,896.10","5","779","0.19%","",""
"08/10/2019","2,160","319","1,179","401","141","45","8,068","2,431","0","0","0","0","0.00%","",""
"09/10/2019","2,316","422","1,303","382","118","39","10,177","2,662","10","209.6","3","70","0.11%","",""
"10/10/2019","2,264","379","1,214","414","133","68","9,085","2,569","5","55.4","2","28","0.08%","",""
"11/10/2019","1,771","298","916","288","124","70","7,716","1,969","3","245","3","82","0.15%","",""
"12/10/2019","1,157","190","713","96","82","36","4,426","1,286","4","69.8","2","35","0.16%","",""
"13/10/2019","1,232","217","722","133","71","48","5,414","1,383","6","85.95","3","29","0.22%","",""
"14/10/2019","2,039","316","1,089","391","129","50","8,244","2,304","3","86","1","86","0.04%","",""
"15/10/2019","2,906","484","1,570","520","145","113","12,447","3,293","8","285.4","4","71","0.12%","",""
"16/10/2019","2,640","426","1,345","426","139","230","10,880","2,930","5","122","3","41","0.10%","",""
"17/10/2019","2,380","463","1,288","360","116","91","10,059","2,657","5","120.8","5","24","0.19%","",""
"18/10/2019","2,116","395","1,174","330","104","59","8,442","2,399","4","137","2","69","0.08%","",""
"19/10/2019","1,427","261","849","146","90","45","6,575","1,674","3","110","2","55","0.12%","",""
"20/10/2019","1,414","237","849","159","77","48","5,957","1,612","6","105.6","2","53","0.12%","",""
"21/10/2019","2,511","429","1,405","428","120","67","10,455","2,851","4","56","2","28","0.07%","",""
"22/10/2019","2,580","458","1,452","458","127","67","10,970","2,990","5","59","3","20","0.10%","",""
"23/10/2019","2,658","433","1,544","398","191","54","10,967","3,030","3","72","2","36","0.07%","",""
"24/10/2019","2,289","367","1,306","360","142","49","9,972","2,563","10","139.25","3","46","0.12%","",""
"25/10/2019","2,003","328","1,174","308","104","42","9,818","2,253","8","219.7","6","37","0.27%","",""
"26/10/2019","1,292","223","797","111","89","40","6,655","1,476","11","276.2","6","46","0.41%","",""
"27/10/2019","1,264","230","750","123","79","47","5,807","1,399","1","30","1","30","0.07%","",""
"28/10/2019","2,192","387","1,148","428","102","49","9,989","2,485","4","27","2","14","0.08%","",""
"29/10/2019","2,273","458","1,233","386","99","65","11,277","2,641","3","79","1","79","0.04%","",""
"30/10/2019","2,370","451","1,304","384","144","47","11,645","2,692","3","104","3","35","0.11%","",""
"31/10/2019","2,211","330","1,383","294","82","46","9,122","2,450","1","60","1","60","0.04%","",""
"01/11/2019","2,076","277","1,349","281","79","41","9,658","2,279","3","7.5","1","8","0.04%","",""
"02/11/2019","1,247","226","752","120","67","40","6,922","1,402","1","30","1","30","0.07%","",""
"03/11/2019","1,423","245","828","174","82","44","7,370","1,566","2","70","2","35","0.13%","",""
"04/11/2019","2,240","420","1,157","434","102","42","12,421","2,535","13","306","5","61","0.20%","",""
"05/11/2019","2,540","577","1,296","419","122","57","14,354","2,908","25","396.8","6","66","0.21%","",""
"06/11/2019","2,577","460","1,429","428","152","65","13,436","3,001","7","79.75","3","27","0.10%","",""
"07/11/2019","2,533","373","1,431","477","136","67","12,899","2,903","6","126","4","32","0.14%","",""
"08/11/2019","2,044","339","1,109","356","109","75","10,151","2,319","9","90.25","2","45","0.09%","",""
"09/11/2019","1,478","258","913","135","74","43","6,958","1,633","8","119.1","2","60","0.12%","",""
"10/11/2019","1,440","228","864","169","75","60","7,041","1,599","2","40","2","20","0.13%","",""
"11/11/2019","2,406","368","1,368","424","128","52","12,471","2,766","1","13","1","13","0.04%","",""
"12/11/2019","2,487","387","1,384","411","123","50","11,472","2,805","0","0","0","0","0.00%","",""
"13/11/2019","3,442","435","1,664","391","109","810","14,216","4,034","15","163","5","33","0.12%","",""
"14/11/2019","3,126","480","1,437","480","101","552","14,310","3,505","9","142","7","20","0.20%","",""
"15/11/2019","2,218","332","1,244","333","109","153","10,858","2,531","5","144.5","4","36","0.16%","",""
"16/11/2019","1,618","297","889","140","80","175","7,740","1,829","4","175","3","58","0.16%","",""
"17/11/2019","1,622","227","997","165","78","96","8,572","1,821","11","207.2","6","35","0.33%","",""
"18/11/2019","2,847","549","1,486","488","99","87","12,730","3,211","36","160.8","5","32","0.16%","",""
"19/11/2019","2,926","553","1,594","490","130","90","13,970","3,415","9","255.7","4","64","0.12%","",""
"20/11/2019","2,807","510","1,513","487","114","68","13,921","3,240","3","65","2","33","0.06%","",""
"21/11/2019","2,792","543","1,467","545","118","83","13,680","3,287","4","78","3","26","0.09%","",""
"22/11/2019","2,517","513","1,299","451","129","49","12,993","2,857","10","72.5","3","24","0.11%","",""
"23/11/2019","1,988","275","1,008","168","94","393","8,619","2,173","24","424.25","5","85","0.23%","",""
"24/11/2019","2,145","390","1,125","205","102","273","10,503","2,406","3","36.75","2","18","0.08%","",""
"25/11/2019","2,953","431","1,610","519","143","211","14,154","3,379","7","193.1","5","39","0.15%","",""
"26/11/2019","2,955","447","1,688","478","134","166","14,290","3,471","7","135.2","3","45","0.09%","",""
"27/11/2019","2,505","371","1,442","417","120","70","13,145","2,849","8","216","2","108","0.07%","",""
"28/11/2019","2,558","463","1,542","329","116","52","10,946","2,807","7","145.1","4","36","0.14%","",""
"29/11/2019","2,816","421","1,814","307","159","65","11,169","3,070","25","207.3","5","41","0.16%","",""
"30/11/2019","1,887","255","1,250","172","79","71","8,643","2,107","23","291.95","3","97","0.14%","",""
"01/12/2019","1,923","269","1,175","193","116","70","9,542","2,117","7","184.5","5","37","0.24%","",""
"02/12/2019","3,987","1,162","1,828","670","223","87","18,473","4,500","17","171.3","8","21","0.18%","",""
"03/12/2019","3,126","693","1,644","498","158","58","14,292","3,534","15","323.6","8","40","0.23%","",""
"04/12/2019","2,786","515","1,516","495","152","67","14,566","3,217","16","383.4","4","96","0.12%","",""
"05/12/2019","2,506","420","1,381","461","117","60","12,031","2,823","8","72.6","4","18","0.14%","",""
"06/12/2019","2,388","410","1,122","599","130","52","12,363","2,670","6","94.85","4","24","0.15%","",""
"07/12/2019","1,630","349","888","171","92","77","7,976","1,778","14","271.5","5","54","0.28%","",""
"08/12/2019","1,687","277","1,008","177","111","48","9,004","1,853","17","250.85","5","50","0.27%","",""
"09/12/2019","2,644","513","1,352","504","138","58","13,821","2,962","9","317","5","63","0.17%","",""
"10/12/2019","3,077","792","1,496","528","123","58","15,871","3,430","15","177.5","4","44","0.12%","",""
"11/12/2019","2,808","592","1,405","556","138","52","15,337","3,170","4","136","2","68","0.06%","",""
"12/12/2019","2,776","543","1,500","488","124","57","13,938","3,151","7","140","5","28","0.16%","",""
"13/12/2019","2,670","780","1,216","443","137","71","13,828","3,064","26","971","10","97","0.33%","",""
"14/12/2019","1,494","258","914","151","90","48","8,128","1,689","25","590.4","10","59","0.59%","",""
"15/12/2019","1,735","348","977","217","85","54","9,600","1,930","15","346","9","38","0.47%","",""
"16/12/2019","3,106","949","1,525","627","40","80","20,363","3,966","19","391.5","15","26","0.38%","",""
"17/12/2019","2,695","562","1,447","525","13","75","14,124","3,023","23","607","10","61","0.33%","",""
"18/12/2019","2,428","500","1,315","465","12","64","13,347","2,766","16","318.5","5","64","0.18%","",""
"19/12/2019","2,331","479","1,258","469","8","56","13,161","2,627","10","305","5","61","0.19%","",""
"20/12/2019","1,906","350","1,022","364","18","83","10,091","2,148","13","440","6","73","0.28%","",""
"21/12/2019","1,121","186","712","132","4","47","5,877","1,220","1","60","1","60","0.08%","",""
"22/12/2019","1,201","216","751","128","4","50","5,568","1,305","16","458.5","7","66","0.54%","",""
"23/12/2019","1,562","285","869","300","6","58","6,965","1,723","10","189.1","4","47","0.23%","",""
"24/12/2019","1,045","194","642","107","1","49","4,764","1,148","7","115","3","38","0.26%","",""
"25/12/2019","1,101","173","700","130","2","53","5,268","1,217","4","180","4","45","0.33%","",""
"26/12/2019","1,519","262","891","238","6","49","7,059","1,687","0","0","0","0","0.00%","",""
"27/12/2019","1,359","215","800","174","3","98","6,192","1,485","2","79.5","2","40","0.13%","",""
"28/12/2019","986","163","643","84","7","46","4,084","1,084","5","133.6","3","45","0.28%","",""
"29/12/2019","1,065","164","699","88","2","50","4,423","1,158","0","0","0","0","0.00%","",""
"30/12/2019","1,519","223","966","237","3","46","6,636","1,688","7","171.4","2","86","0.12%","",""
"31/12/2019","907","168","573","80","2","53","4,048","1,001","0","0","0","0","0.00%","",""
"01/01/2020","1,210","233","646","120","2","47","5,936","1,322","23","560.25","6","93","0.45%","",""
"02/01/2020","1,709","343","957","296","6","40","8,086","1,883","4","38","2","19","0.11%","",""
"03/01/2020","1,469","288","814","242","3","66","7,073","1,599","6","125.6","4","31","0.25%","",""
"04/01/2020","1,149","178","766","91","1","61","5,208","1,275","1","40","1","40","0.08%","",""
"05/01/2020","1,106","179","722","117","1","45","4,703","1,213","12","280.25","3","93","0.25%","",""
"06/01/2020","1,949","395","1,025","420","10","54","10,141","2,197","3","144.5","2","72","0.09%","",""
"07/01/2020","2,059","404","1,146","350","3","72","9,439","2,303","1","22","1","22","0.04%","",""
"08/01/2020","2,254","441","1,280","400","1","74","11,440","2,530","3","59","1","59","0.04%","",""
"09/01/2020","2,110","327","1,296","359","2","60","9,748","2,322","7","221","3","74","0.13%","",""
"10/01/2020","1,801","332","1,060","273","5","56","9,385","2,044","2","9.6","1","10","0.05%","",""
"11/01/2020","1,322","221","864","129","2","58","6,931","1,488","9","63.75","2","32","0.13%","",""
"12/01/2020","1,430","221","940","136","0","82","6,797","1,618","3","24.1","3","8","0.19%","",""
"13/01/2020","2,359","430","1,379","427","9","62","10,851","2,698","2","24","2","12","0.07%","",""
"14/01/2020","2,171","341","1,297","381","7","75","10,152","2,476","18","212.1","4","53","0.16%","",""
"15/01/2020","2,249","395","1,263","382","30","89","10,264","2,497","12","262.8","5","53","0.20%","",""
"16/01/2020","2,259","399","1,301","355","67","71","11,399","2,560","5","89","3","30","0.12%","",""
"17/01/2020","1,879","313","1,075","271","69","69","8,620","2,063","11","219.2","4","55","0.19%","",""
"18/01/2020","1,286","224","786","141","41","49","6,123","1,461","15","292.5","2","146","0.14%","",""
"19/01/2020","1,311","243","768","132","49","56","6,112","1,455","3","44","1","44","0.07%","",""
"20/01/2020","1,749","292","1,062","211","61","56","7,984","1,972","10","69.6","3","23","0.15%","",""
"21/01/2020","2,121","361","1,163","365","93","49","10,015","2,392","13","276.75","6","46","0.25%","",""
"22/01/2020","2,177","360","1,246","384","88","53","10,015","2,473","5","40.25","3","13","0.12%","",""
"23/01/2020","1,993","341","1,098","368","87","44","10,011","2,257","8","71.25","3","24","0.13%","",""
"24/01/2020","1,764","321","977","286","94","53","9,229","1,940","7","154.75","3","52","0.15%","",""
"25/01/2020","1,191","212","744","120","42","31","5,767","1,348","2","10.5","1","11","0.07%","",""
"26/01/2020","1,125","217","629","127","57","41","5,523","1,239","17","407","5","81","0.40%","",""
"27/01/2020","2,150","348","1,274","364","59","48","9,950","2,414","1","23","1","23","0.04%","",""
"28/01/2020","2,235","388","1,330","376","6","75","10,599","2,522","2","16","1","16","0.04%","",""
"29/01/2020","2,304","461","1,359","341","6","55","11,061","2,613","0","0","0","0","0.00%","",""
"30/01/2020","2,059","331","1,253","313","6","71","9,953","2,359","4","179","2","90","0.08%","",""
"31/01/2020","1,685","254","1,000","300","8","54","9,645","1,878","4","84","4","21","0.21%","",""
"01/02/2020","1,225","198","796","129","7","47","6,163","1,392","8","152.75","3","51","0.22%","",""
"02/02/2020","1,364","236","871","168","5","42","6,601","1,539","0","0","0","0","0.00%","",""
"03/02/2020","2,251","368","1,308","416","4","51","10,827","2,517","2","24","2","12","0.08%","",""
"04/02/2020","2,192","337","1,375","359","1","44","10,134","2,493","4","26.6","2","13","0.08%","",""
"05/02/2020","2,236","370","1,345","391","3","51","11,544","2,509","5","115.6","3","39","0.12%","",""
"06/02/2020","2,172","367","1,351","316","4","57","10,779","2,391","5","190.2","2","95","0.08%","",""
"07/02/2020","1,902","324","1,109","323","4","56","9,888","2,148","18","314.5","6","52","0.28%","",""
"08/02/2020","1,419","211","933","141","3","61","6,988","1,603","6","130","4","33","0.25%","",""
"09/02/2020","1,494","218","958","183","0","73","7,291","1,654","13","281.4","3","94","0.18%","",""
"10/02/2020","2,022","348","1,182","354","1","57","9,391","2,247","8","333.75","4","83","0.18%","",""
"11/02/2020","2,331","407","1,370","416","2","49","11,403","2,644","2","40","2","20","0.08%","",""
"12/02/2020","2,296","414","1,326","392","4","67","10,550","2,567","1","13","1","13","0.04%","",""
"13/02/2020","2,134","358","1,254","373","4","73","10,479","2,387","7","574","3","191","0.13%","",""
"14/02/2020","1,697","299","970","274","5","56","8,484","1,857","9","113","3","38","0.16%","",""
"15/02/2020","1,372","228","890","114","3","56","6,216","1,534","2","53","1","53","0.07%","",""
"16/02/2020","1,307","224","866","98","7","43","6,175","1,454","1","58","1","58","0.07%","",""
"17/02/2020","1,803","350","1,130","147","4","53","7,233","1,978","0","0","0","0","0.00%","",""
"18/02/2020","2,296","410","1,390","329","2","64","10,321","2,590","7","108","4","27","0.15%","",""
"19/02/2020","2,310","390","1,365","301","42","82","10,141","2,599","7","159","4","40","0.15%","",""
"20/02/2020","2,309","417","1,316","323","103","68","10,676","2,619","4","69.6","2","35","0.08%","",""
"21/02/2020","1,871","334","1,006","238","121","84","9,045","2,106","4","163","2","82","0.09%","",""
"22/02/2020","1,373","216","842","102","58","67","5,930","1,538","2","44","2","22","0.13%","",""
"23/02/2020","1,320","214","796","120","60","58","6,190","1,472","3","20.2","1","20","0.07%","",""
"24/02/2020","2,018","358","1,145","291","92","46","10,151","2,273","4","113.15","2","57","0.09%","",""
"25/02/2020","2,087","364","1,166","331","94","53","9,895","2,390","13","143","4","36","0.17%","",""
"26/02/2020","2,021","345","1,161","296","89","69","10,469","2,279","3","61","2","31","0.09%","",""
"27/02/2020","2,126","327","1,197","365","101","49","9,825","2,386","13","191.95","4","48","0.17%","",""
"28/02/2020","1,818","281","1,028","309","78","45","8,653","2,046","2","21","1","21","0.05%","",""
"29/02/2020","1,310","201","801","126","76","60","6,919","1,434","13","550.9","2","275","0.14%","",""
"01/03/2020","1,363","213","815","158","58","52","5,782","1,492","3","58","2","29","0.13%","",""
"02/03/2020","2,081","354","1,167","341","100","43","10,249","2,380","12","307.1","4","77","0.17%","",""
"03/03/2020","2,168","330","1,240","365","82","65","9,591","2,520","1","16","1","16","0.04%","",""
"04/03/2020","2,264","371","1,230","364","95","113","10,476","2,554","15","319.4","5","64","0.20%","",""
"05/03/2020","2,061","319","1,182","344","110","48","9,337","2,282","13","505","6","84","0.26%","",""
"06/03/2020","1,854","272","1,072","294","89","62","8,485","2,083","18","342","3","114","0.14%","",""
"07/03/2020","1,266","184","780","151","61","56","6,019","1,406","9","84.1","1","84","0.07%","",""
"08/03/2020","1,224","212","707","121","56","61","5,445","1,371","3","45.5","1","46","0.07%","",""
"09/03/2020","1,993","328","1,187","333","21","58","8,939","2,186","3","106","1","106","0.05%","",""
"10/03/2020","2,195","365","1,351","312","13","53","10,129","2,518","0","0","0","0","0.00%","",""
"11/03/2020","2,000","343","1,187","320","5","52","8,050","2,231","5","25.44","1","25","0.04%","",""
"12/03/2020","1,682","272","1,051","230","6","43","7,564","1,923","8","98.9","2","49","0.10%","",""
"13/03/2020","1,347","220","839","182","4","55","5,660","1,521","24","646.85","3","216","0.20%","",""
"14/03/2020","1,064","170","685","87","4","62","4,925","1,177","5","125","2","63","0.17%","",""
"15/03/2020","1,109","180","720","114","6","50","5,152","1,250","0","0","0","0","0.00%","",""
"16/03/2020","1,363","244","793","191","5","60","6,126","1,536","1","26","1","26","0.07%","",""
"17/03/2020","1,362","229","811","213","7","45","6,316","1,520","0","0","0","0","0.00%","",""
"18/03/2020","1,448","256","852","189","9","42","5,857","1,608","0","0","0","0","0.00%","",""
"19/03/2020","1,238","192","733","188","3","55","5,487","1,401","3","28","2","14","0.14%","",""
"20/03/2020","1,237","168","744","192","10","61","5,192","1,399","2","71","2","36","0.14%","",""
"21/03/2020","1,036","140","638","112","4","84","4,158","1,157","2","33","1","33","0.09%","",""
"22/03/2020","979","142","617","113","4","53","4,486","1,110","7","127.8","3","43","0.27%","",""
"23/03/2020","1,439","234","861","217","9","49","6,156","1,633","2","35","2","18","0.12%","",""
"24/03/2020","1,427","233","843","231","8","51","5,880","1,567","4","120.05","2","60","0.13%","",""
"25/03/2020","1,616","262","972","264","7","59","6,601","1,833","8","102.75","3","34","0.16%","",""
"26/03/2020","1,501","273","853","222","3","56","6,427","1,663","1","30","1","30","0.06%","",""
"27/03/2020","1,462","220","912","216","5","62","6,882","1,683","24","407.35","6","68","0.36%","",""
"28/03/2020","1,161","206","746","110","3","40","5,092","1,304","2","28.6","1","29","0.08%","",""
"29/03/2020","1,146","166","748","133","4","44","5,061","1,284","2","70.3","1","70","0.08%","",""
"30/03/2020","1,707","312","981","265","7","69","7,926","1,932","0","0","0","0","0.00%","",""
"31/03/2020","1,652","278","962","256","5","56","6,358","1,828","6","127.3","2","64","0.11%","",""
"01/04/2020","1,570","250","928","243","6","62","6,533","1,759","1","21","1","21","0.06%","",""
"02/04/2020","1,686","293","989","260","10","61","7,476","1,892","17","298.75","5","60","0.26%","",""
"03/04/2020","1,467","264","832","229","3","79","6,937","1,659","0","0","0","0","0.00%","",""
"04/04/2020","1,187","209","730","132","2","61","5,391","1,359","7","74.55","1","75","0.07%","",""
"05/04/2020","1,247","199","784","150","1","66","5,621","1,404","2","55","2","28","0.14%","",""
"06/04/2020","1,757","315","978","306","7","57","8,238","2,007","3","69.5","3","23","0.15%","",""
"07/04/2020","1,730","316","995","255","7","72","7,584","1,949","4","72.4","2","36","0.10%","",""
"08/04/2020","1,788","292","1,082","274","9","43","9,045","2,052","4","121.9","2","61","0.10%","",""
"09/04/2020","1,743","305","1,036","247","6","86","7,865","1,956","2","63","2","32","0.10%","",""
"10/04/2020","1,517","247","927","210","3","63","7,492","1,704","7","167.5","1","168","0.06%","",""
"11/04/2020","1,261","197","809","115","2","68","5,663","1,427","11","111.27","4","28","0.28%","",""
"12/04/2020","1,291","174","810","124","6","82","5,218","1,445","2","96.6","1","97","0.07%","",""
"13/04/2020","1,823","274","1,074","309","4","74","8,184","2,066","0","0","0","0","0.00%","",""
"14/04/2020","1,847","314","1,068","280","6","74","8,832","2,090","6","56","2","28","0.10%","",""
"15/04/2020","1,949","312","1,170","292","5","66","8,845","2,159","3","65.8","3","22","0.14%","",""
"16/04/2020","2,055","315","1,252","353","3","57","9,271","2,341","10","269.7","4","67","0.17%","",""
"17/04/2020","1,876","250","1,181","294","2","70","8,804","2,062","12","124.3","4","31","0.19%","",""
"18/04/2020","1,444","218","937","142","1","86","6,137","1,648","0","0","0","0","0.00%","",""
"19/04/2020","1,540","293","919","146","1","72","6,568","1,686","5","91.05","2","46","0.12%","",""
"20/04/2020","2,001","320","1,165","343","2","73","8,791","2,240","0","0","0","0","0.00%","",""
"21/04/2020","2,022","278","1,211","322","41","79","8,991","2,292","0","0","0","0","0.00%","",""
"22/04/2020","2,013","303","1,152","319","84","79","9,428","2,287","14","275.85","5","55","0.22%","",""
"23/04/2020","1,837","296","1,031","307","76","68","8,584","2,103","5","160.7","2","80","0.10%","",""
"24/04/2020","1,651","265","959","266","71","55","7,420","1,911","2","47","1","47","0.05%","",""
"25/04/2020","1,439","218","878","123","62","57","5,956","1,598","4","159","1","159","0.06%","",""
"26/04/2020","1,577","257","897","193","66","88","6,015","1,761","0","0","0","0","0.00%","",""
"27/04/2020","2,248","392","1,264","340","109","87","10,623","2,512","5","59","3","20","0.12%","",""
"28/04/2020","2,120","345","1,158","368","115","82","8,875","2,367","1","22","1","22","0.04%","",""
"29/04/2020","1,897","327","1,069","267","96","59","8,812","2,114","10","192.8","2","96","0.09%","",""
"30/04/2020","1,916","327","1,073","286","112","70","9,435","2,165","21","360.35","4","90","0.18%","",""
"01/05/2020","1,734","275","996","248","85","73","8,920","1,949","25","311.95","8","39","0.41%","",""
"02/05/2020","1,412","216","903","119","69","70","5,954","1,554","4","81.5","4","20","0.26%","",""
"03/05/2020","1,468","249","909","146","48","68","5,559","1,651","2","24.5","2","12","0.12%","",""
